Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Realized	Stressed	Lexical	Past	Vowel	Pause	CLAM73	1973	M	Not Educated	Blue	d--Affricate
Realized	Stressed	Lexical	Past	Vowel	Pause	DAVM90	1990	M	Educated	Service	d--Other Weakening
Deletion	Stressed	Lexical	Past	Vowel	Pause	DELF91	1991	F	Student	Student	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	DONM41	1941	M	Not Educated	Blue	d--Affricate
Realized	Stressed	Lexical	Past	Vowel	Pause	DONM53	1953	M	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	DONM58	1958	M	Not Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	DOUF46	1946	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	ELLF61	1961	F	Educated	White	d--T
Deletion	Stressed	Lexical	Past	Vowel	Pause	FRAM93	1993	M	Student	Student	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	GARM42	1942	M	Not Educated	Blue	d--Affricate
Deletion	Stressed	Lexical	Past	Vowel	Pause	GAVM90	1990	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	GOUM91	1991	M	Student	Student	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	GREM45	1945	M	Not Educated	Blue	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	HANF83	1983	F	Educated	Service	d--D
Deletion	Stressed	Lexical	Past	Vowel	Pause	HANM57	1957	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	HAWM90	1990	M	Not Educated	Blue	d--Ejective
Realized	Stressed	Lexical	Past	Vowel	Pause	HOLM52	1952	M	Not Educated	Blue	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	INGM84	1984	M	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	INGM87	1987	M	Educated	Service	d--Affricate
Deletion	Stressed	Lexical	Past	Vowel	Pause	JOCF91	1991	F	Student	Student	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	JOYF91	1991	F	Student	Student	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	KAYF29	1929	F	Not Educated	Service	d--Ejective
Deletion	Stressed	Lexical	Past	Vowel	Pause	KAYM29	1929	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	LATF53	1953	F	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	LELM91	1991	M	Student	Student	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	LEOF66	1966	F	Educated	White	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	MOFM55	1955	M	Educated	White	d--T
Deletion	Stressed	Lexical	Past	Vowel	Pause	NATF84	1984	F	Educated	Service	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	NEIF49	1949	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	PEIF57	1957	F	Educated	White	d--T
Deletion	Stressed	Lexical	Past	Vowel	Pause	PHAM91	1991	M	Student	Student	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	ROBM64	1964	M	Educated	Service	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	ROLF91	1991	F	Student	Student	d--D
Realized	Stressed	Lexical	Past	Vowel	Pause	RUDF73	1973	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	SILM90	1990	M	Not Educated	Service	d--D
Deletion	Stressed	Lexical	Past	Vowel	Pause	SMIF58	1958	F	Not Educated	Service	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	SMIM61	1961	M	Not Educated	Blue	d--D
Deletion	Stressed	Lexical	Past	Vowel	Pause	STAM21	1921	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Vowel	Pause	STEF99	1999	F	Student	Student	d--Fricative
Realized	Stressed	Lexical	Past	Vowel	Pause	STEM42	1942	M	Not Educated	Service	d--T
Realized	Stressed	Lexical	Past	Vowel	Pause	STEM65	1965	M	Not Educated	Service	d--Ejective
Realized	Stressed	Lexical	Past	Vowel	Pause	TAMF91	1991	F	Student	Student	d--D
Realized	Stressed	Lexical	Mono	Nasal	Pause	GARF87	1987	F	Educated	White	t--Affricate
Realized	Stressed	Lexical	Mono	Nasal	Pause	HUNF22	1922	F	Educated	Service	t--Affricate
Realized	Stressed	Lexical	Mono	Nasal	Pause	HUNF22	1922	F	Educated	Service	t--Fricative
Deletion	Unstressed	Lexical	Mono	S	Pause	INGM84	1984	M	Educated	Service	t--Deletion
Realized	Unstressed	Lexical	Mono	Vowel	Pause	GARF87	1987	F	Educated	White	t--Affricate
Realized	Unstressed	Lexical	Mono	Vowel	Pause	HUNF22	1922	F	Educated	Service	t--Fricative
Deletion	Unstressed	Lexical	Mono	Liquid	Pause	GARF87	1987	F	Educated	White	d--Deletion
